,restaurante,seccion,platos,precios,platos_lower,seccion_lower,Categorias
0,7 Delicatessen,Entrante,Ensalada de queso de cabra con naranja agria al cava,"8,5 €",ensalada de queso de cabra con naranja agria al cava,entrante,Ensalada
1,7 Delicatessen,Entrante,Tortilla de patata con cebolla caramelizada,8 €,tortilla de patata con cebolla caramelizada,entrante,Entrantes
2,7 Delicatessen,Entrante,Ensalada de foie y cebolla caramelizada,"8,5 €",ensalada de foie y cebolla caramelizada,entrante,Ensalada
3,7 Delicatessen,Plato,Pollo yakitori,8 €,pollo yakitori,plato,Pollo
4,7 Delicatessen,Plato,Pizza de gambón y chile confitado,"8,5 €",pizza de gambón y chile confitado,plato,Pizza
5,7 Delicatessen,Plato,Rissoto de boletus,9 €,rissoto de boletus,plato,None
6,7 Delicatessen,Postre,Bizcocho de chocolate y vino tinto con helado de turrón y lluvia de natillas,5 €,bizcocho de chocolate y vino tinto con helado de turrón y lluvia de natillas,postre,Postres
7,7 Delicatessen,Postre,Leche frita,3 €,leche frita,postre,Postres
8,7 Delicatessen,Postre,Muerte por chocolate,3 €,muerte por chocolate,postre,Postres
9,7 Delicatessen,seccion_bebidas,Café,"1,5 €",café,seccion_bebidas,None
10,7 Delicatessen,seccion_bebidas,Botella de agua,"3,5 €",botella de agua,seccion_bebidas,None
11,7 Delicatessen,seccion_bebidas,Media botella de agua,"2,5 €",media botella de agua,seccion_bebidas,None
12,7 Delicatessen,seccion_bebidas,Botella de vino,13 €,botella de vino,seccion_bebidas,None
13,7 Delicatessen,seccion_bebidas,Copa de vino,3 €,copa de vino,seccion_bebidas,None
0,Aloha Poké,Entrante,Gazpacho,5 €,gazpacho,entrante,Sopa
1,Aloha Poké,Entrante,Hummus,"5,5 €",hummus,entrante,Entrantes
2,Aloha Poké,Entrante,Ensalada del día,"8,5 €",ensalada del día,entrante,Ensalada
3,Aloha Poké,Plato,Poke Mexico,"10,9 €",poke mexico,plato,None
4,Aloha Poké,Plato,Poke Pperú,"10,9 €",poke pperú,plato,None
5,Aloha Poké,Plato,Thai,"10,9 €",thai,plato,None
6,Aloha Poké,Postre,Blueberry cheescake,"3,9 €",blueberry cheescake,postre,Postres
7,Aloha Poké,Postre,Brownie aguacate,"3,9 €",brownie aguacate,postre,Postres
8,Aloha Poké,Postre,Panacotta,"3,5 €",panacotta,postre,Postres
9,Aloha Poké,seccion_bebidas,Café,"1,5 €",café,seccion_bebidas,None
10,Aloha Poké,seccion_bebidas,Media botella de agua,2 €,media botella de agua,seccion_bebidas,None
11,Aloha Poké,seccion_bebidas,Copa de vino,"2,9 €",copa de vino,seccion_bebidas,None
0,Bagatella,Entrante,"Selección de Dips: hummus, salmorejo y guacamole con pan artesano y ""crudités""","9,8 €","selección de dips: hummus, salmorejo y guacamole con pan artesano y ""crudités""",entrante,Entrantes
1,Bagatella,Entrante,Carpaccio de ternera con crema de membrillo y vinagreta de moscatel,9 €,carpaccio de ternera con crema de membrillo y vinagreta de moscatel,entrante,Entrantes
2,Bagatella,Entrante,Surtido de croquetas de la casa,9 €,surtido de croquetas de la casa,entrante,Entrantes
3,Bagatella,Plato,Medallones de solomillo o secreto de cerdo ibérico con patatas y ensalada,"13,5 €",medallones de solomillo o secreto de cerdo ibérico con patatas y ensalada,plato,Ensalada
4,Bagatella,Plato,Hamburguesa vegetariana con batata frita al curry y salsa tártara,12 €,hamburguesa vegetariana con batata frita al curry y salsa tártara,plato,Hamburguesa
5,Bagatella,Plato,Chipirones a la plancha a nuestra manera,11 €,chipirones a la plancha a nuestra manera,plato,Marisco
6,Bagatella,Postre,Volcán de chocolate con helado de violeta,6 €,volcán de chocolate con helado de violeta,postre,Postres
7,Bagatella,Postre,Tarta de queso,"4,5 €",tarta de queso,postre,Postres
8,Bagatella,Postre,Tarta húmeda de chocolate con helado de mascarpone y frutos rojos,"5,5 €",tarta húmeda de chocolate con helado de mascarpone y frutos rojos,postre,Postres
9,Bagatella,seccion_bebidas,Café,"1,5 €",café,seccion_bebidas,None
10,Bagatella,seccion_bebidas,Botella de agua,"1,8 €",botella de agua,seccion_bebidas,None
11,Bagatella,seccion_bebidas,Botella de vino,13 €,botella de vino,seccion_bebidas,None
12,Bagatella,seccion_bebidas,Copa de vino,"2,5 €",copa de vino,seccion_bebidas,None
0,Bazaar,Las tapas del BAZAAR para compartir,Berenjenas crujientes a la miel y soja,"5,9 €",berenjenas crujientes a la miel y soja,las tapas del bazaar para compartir,Entrantes
1,Bazaar,Las tapas del BAZAAR para compartir,Croquetas cremosas de chipirones con su tinta,"7,95 €",croquetas cremosas de chipirones con su tinta,las tapas del bazaar para compartir,Entrantes
